Data,Kadar_Air ,Tak_Larut,Kalsium,Magnesium,Sulfat ,NaCl(wb),NaCl(db),Grade
"41,""7,007575758"",""0,5162367023"",""0,3496556485"",""0,6687164277"",""1,241817857"",""86,59225361"",""93,11753546"",K2"
"42,""9,89"",""0,0438109121"",""0,2474725809"",""1,13387437"",""1,125605211"",""82,67545975"",""91,74948369"",K2"
"43,""5,675146771"",""0,364020174"",""0,5171394795"",""0,4513217276"",""1,838714235"",""85,76453258"",""90,92463931"",K2"
"44,""6,457242583"",""0,1381720162"",""0,2172959393"",""0,691001087"",""0,879850832"",""89,09103896"",""95,24098008"",K2"
"45,""4,6875"",""0,4523114253"",""0,3484907159"",""0,460007745"",""1,466394371"",""89,22265766"",""93,61065721"",K2"
"46,""4,6875"",""0,4523114253"",""0,3484907159"",""0,460007745"",""1,466394371"",""89,22265766"",""93,61065721"",K2"
"47,""3,409090909"",""0,2374073283"",""0,2980677634"",""0,4677371057"",""1,879429291"",""91,75582513"",""94,99426602"",K2"
"48,""4,356060606"",""0,5428428094"",""0,3708113517"",""0,6952712845"",""1,265614371"",""89,36994477"",""93,44025908"",K2"
"49,""4,356060606"",""0,5428428094"",""0,3708113517"",""0,6952712845"",""1,265614371"",""89,36994477"",""93,44025908"",K2"
"50,""4,980842912"",""0,4399017466"",""0,3267285251"",""0,6161166474"",""1,204652937"",""88,13049925"",""92,75024316"",K2"
"51,""6,066536204"",""0,3545121361"",""0,1732586473"",""0,3768375579"",""1,883440165"",""91,35239425"",""97,25223638"",K2"
"52,""4,222648752"",""0,4820972429"",""0,1274657631"",""0,3059178315"",""1,129469578"",""89,83357586"",""93,7941744"",K3"
"53,""11,71875"",""0,09394231942"",""0,4609700617"",""1,009524435"",""1,225391779"",""79,91006016"",""90,51759027"",K3"
"54,""11,71875"",""0,09394231942"",""0,4609700617"",""1,009524435"",""1,225391779"",""79,91006016"",""90,51759027"",K3"
"55,""4,222648752"",""0,4820972429"",""0,1274657631"",""0,3059178315"",""1,129469578"",""89,83357586"",""93,7941744"",K3"
"56,""11,36738056"",""0,1987419594"",""0,3403588433"",""0,8849329926"",""1,024720532"",""80,2014677"",""90,48752954"",K3"
"57,""11,17533719"",""0,2574784702"",""0,5040364549"",""0,7698011311"",""0,9346239776"",""83,22273996"",""93,69327992"",K3"
"58,""10,07751938"",""0,460202657"",""0,3165732259"",""0,5291295347"",""1,182548779"",""84,90439741"",""94,4195454"",K3"
